Array Index,SeedID,cycle,Allele Frequency,Heterozygosity,No_lineages
1,1811758731,1100,0.005,0.0925004,1
1,1811758731,1200,0.0,0.0920697,0
1,1811758731,1300,0.06,0.0913856,1
1,1811758731,1400,0.005,0.0896296,1
1,1811758731,1500,0.0,0.092132,0
1,1811758731,1600,0.0,0.0928007,0
1,1811758731,1700,0.0,0.0935071,0
1,1811758731,1800,0.0,0.0927271,0
1,1811758731,1900,0.02,0.0926177,1
1,1811758731,2000,0.01,0.0916514,1
1,1811758731,2100,0.01,0.0905811,1
1,1811758731,2200,0.26,0.0903557,2
1,1811758731,2300,0.04,0.0931191,2
1,1811758731,2400,0.0,0.0883342,0
1,1811758731,2500,0.0,0.0890179,0
1,1811758731,2600,0.14,0.0913054,1
1,1811758731,2700,0.02,0.0901056,1
1,1811758731,2800,0.0,0.0888936,0
1,1811758731,2900,0.0,0.0908834,0
1,1811758731,3000,0.0,0.0895013,0
1,1811758731,3100,0.01,0.0921603,1
1,1811758731,3200,0.0,0.0902619,0
1,1811758731,3300,0.0,0.0884296,0
1,1811758731,3400,0.055,0.088955,1
1,1811758731,3500,0.0,0.0921787,0
1,1811758731,3600,0.505,0.090534,1
