cycle,Heterozygosity
1,5.06993e-05
101,0.00502687
201,0.00960655
301,0.0138932
401,0.0181896
501,0.0221152
601,0.0259626
701,0.0292187
801,0.0324887
901,0.035583
1001,0.0387009
1101,0.0414703
1201,0.043949
1301,0.0462497
1401,0.0485393
1501,0.0507608
1601,0.052815
1701,0.0549568
1801,0.0569126
1901,0.0585866
2001,0.0604834
2101,0.0619785
2201,0.0636051
2301,0.0648656
2401,0.0662941
2501,0.0675213
2601,0.0685915
2701,0.0700333
2801,0.0711888
2901,0.0718197
3001,0.0729992
3101,0.0738585
3201,0.0748207
3301,0.0753568
3401,0.0759112
3501,0.0769074
3601,0.077423
3701,0.0782404
3801,0.0789968
3901,0.0793421
4001,0.0803789
4101,0.0807533
4201,0.0813478
4301,0.0821158
4401,0.0823901
4501,0.082844
4601,0.0831057
4701,0.0835015
4801,0.0842928
4901,0.0847418
5001,0.0849202
5101,0.0851949
5201,0.0852303
5301,0.0855709
5401,0.0860245
5501,0.0864071
5601,0.0868229
5701,0.0869287
5801,0.0870948
5901,0.0872696
6001,0.0872512
6101,0.0873834
6201,0.08772
6301,0.0876555
6401,0.0876679
6501,0.0874862
6601,0.0878437
6701,0.0879091
6801,0.0881135
6901,0.0885819
7001,0.0891196
7101,0.0892102
7201,0.0893991
7301,0.0893185
7401,0.0893207
7501,0.0898154
7601,0.089943
7701,0.0900185
7801,0.0900459
7901,0.0901857
8001,0.0900177
8101,0.0901132
8201,0.0898678
8301,0.0903007
8401,0.0905234
8501,0.0906286
8601,0.0905379
8701,0.0900604
8801,0.089924
8901,0.0900107
9001,0.09001
9101,0.0902938
9201,0.0901921
9301,0.089989
9401,0.0899573
9501,0.0895726
9601,0.0898978
9701,0.0902128
9801,0.0901309
9901,0.0902306
10001,0.090532
10101,0.0907188
10201,0.0904874
10301,0.0905109
10401,0.0901457
10501,0.0896448
10601,0.089572
10701,0.0897118
10801,0.0898712
10901,0.0898713
11001,0.0901516
11101,0.0905881
11201,0.0906788
11301,0.0905148
11401,0.0908371
11501,0.0908812
11601,0.0909117
11701,0.090784
11801,0.0906861
11901,0.0906238
12001,0.0909015
12101,0.0908892
12201,0.0913195
12301,0.0913464
12401,0.0909755
12501,0.091028
12601,0.0908798
12701,0.0908475
12801,0.0907964
12901,0.0909121
13001,0.090725
13101,0.0904731
13201,0.0906088
13301,0.0906233
13401,0.0905238
13501,0.0907475
13601,0.0906598
13701,0.090676
13801,0.0910626
13901,0.09068
14001,0.0909643
14101,0.0913248
14201,0.0914133
