cycle,Heterozygosity
1,5.0285e-06
101,0.000507126
201,0.000988712
301,0.00146459
401,0.00197497
501,0.0024436
601,0.00291826
701,0.00336831
801,0.0038377
901,0.00431221
1001,0.0047844
1101,0.00526143
1201,0.00571421
1301,0.00618693
1401,0.00660997
1501,0.00702541
1601,0.00749477
1701,0.00792471
1801,0.00838674
1901,0.00879003
2001,0.0092281
2101,0.00971561
2201,0.0101735
2301,0.0106388
2401,0.0110206
2501,0.0114588
2601,0.0118575
2701,0.0123659
2801,0.0127217
2901,0.0131199
3001,0.013643
3101,0.0140514
3201,0.0144377
3301,0.014832
3401,0.0152731
3501,0.0156914
3601,0.0161059
3701,0.0165171
3801,0.0169746
3901,0.0174149
4001,0.0178828
4101,0.0182749
4201,0.0186252
4301,0.0190198
4401,0.0193983
4501,0.0198249
4601,0.0201555
4701,0.0205862
4801,0.0209114
4901,0.0213027
5001,0.0216836
5101,0.021953
5201,0.0223401
5301,0.0228189
5401,0.0232122
5501,0.0235736
5601,0.0240223
5701,0.0243688
5801,0.0247711
5901,0.0251447
6001,0.0256129
6101,0.0259855
6201,0.0263669
6301,0.0267268
6401,0.0269783
6501,0.0273855
6601,0.0278026
6701,0.028159
6801,0.0284553
6901,0.0288812
7001,0.0292928
7101,0.0296838
7201,0.0299775
7301,0.0303387
7401,0.0306196
7501,0.0310643
7601,0.0313527
7701,0.031645
7801,0.0319406
7901,0.0323751
8001,0.032782
8101,0.0331616
8201,0.0335217
8301,0.0337612
8401,0.034194
8501,0.0344576
8601,0.03475
8701,0.0351113
8801,0.0354097
8901,0.0357025
9001,0.0360367
9101,0.0363641
9201,0.0366545
9301,0.0370408
9401,0.0372217
9501,0.0374714
9601,0.0377188
9701,0.0380288
9801,0.0383818
9901,0.0386642
10001,0.0389333
10101,0.0392263
10201,0.0394591
10301,0.0397259
10401,0.0399968
10501,0.0401578
10601,0.0402376
10701,0.0405056
10801,0.0408185
10901,0.0411537
11001,0.0412852
11101,0.0416107
11201,0.041788
11301,0.0420878
11401,0.0423529
11501,0.0425848
11601,0.0429928
11701,0.0432845
11801,0.0436194
11901,0.0438461
12001,0.0441781
12101,0.0443739
12201,0.044441
12301,0.0447031
12401,0.0449614
12501,0.0450947
12601,0.0452426
12701,0.0455765
12801,0.0458863
12901,0.0461729
13001,0.046533
13101,0.0467109
13201,0.0469958
13301,0.0471997
13401,0.0473767
13501,0.0475821
13601,0.0479831
13701,0.0482327
13801,0.0485081
13901,0.0488051
14001,0.0489681
14101,0.0491836
14201,0.0494301
14301,0.0496607
14401,0.0499648
14501,0.0502504
14601,0.0502537
14701,0.0505992
14801,0.0509331
14901,0.051187
15001,0.051508
15101,0.0515764
15201,0.0518351
15301,0.0519174
15401,0.0521451
15501,0.0524483
15601,0.0525467
15701,0.0527636
15801,0.0531258
15901,0.0533444
16001,0.0537249
16101,0.0539
16201,0.0542086
16301,0.0542037
16401,0.0544283
16501,0.0544477
16601,0.0546267
16701,0.0549199
16801,0.0550666
16901,0.055219
17001,0.0554623
17101,0.0557728
17201,0.0558576
17301,0.0560408
17401,0.0563137
17501,0.056459
17601,0.0566756
17701,0.0569796
17801,0.0571329
17901,0.0572625
18001,0.057455
18101,0.057628
18201,0.0578039
18301,0.0578568
18401,0.0581149
18501,0.0582253
18601,0.0583969
18701,0.0585457
18801,0.0586811
18901,0.0589344
19001,0.0589851
19101,0.0589
19201,0.059161
19301,0.0593765
19401,0.0594505
19501,0.059519
19601,0.059765
19701,0.0596607
19801,0.0597164
19901,0.0598834
20001,0.0600468
20101,0.0601261
20201,0.0601496
20301,0.0604182
20401,0.0606799
20501,0.0607031
20601,0.0609156
20701,0.0610019
20801,0.0611407
20901,0.0611402
21001,0.0613045
21101,0.061494
21201,0.0616307
21301,0.0618096
21401,0.0619612
21501,0.0619883
21601,0.0621421
21701,0.0623609
21801,0.0623485
21901,0.0624499
22001,0.0626344
22101,0.062682
22201,0.0628291
22301,0.0628464
22401,0.0630145
22501,0.0631583
22601,0.0634043
22701,0.063622
22801,0.063769
22901,0.0639054
23001,0.0639447
23101,0.0639697
23201,0.0640095
23301,0.0641537
23401,0.0644327
23501,0.064529
23601,0.0646412
23701,0.0648162
23801,0.0650178
23901,0.0651648
24001,0.0651585
24101,0.0653308
24201,0.0654496
24301,0.0656376
24401,0.0656995
24501,0.0658792
24601,0.0661368
24701,0.0664124
24801,0.0665571
24901,0.0666006
25001,0.0668018
25101,0.0668681
25201,0.0670176
25301,0.0673369
25401,0.0676283
25501,0.0676743
25601,0.0677057
25701,0.0677154
25801,0.0679597
25901,0.0679461
26001,0.0681142
26101,0.0683214
26201,0.0684498
26301,0.068653
26401,0.0687439
26501,0.0690351
26601,0.0691159
26701,0.0691337
26801,0.0694366
26901,0.0695958
27001,0.0698205
27101,0.0698225
27201,0.0699765
27301,0.0701197
27401,0.0701442
27501,0.0701634
27601,0.0704083
27701,0.070548
27801,0.070617
27901,0.0708281
28001,0.0708758
28101,0.070808
28201,0.0709079
28301,0.0709146
28401,0.0709897
28501,0.0710765
28601,0.0711905
28701,0.0712609
28801,0.0715019
28901,0.0716758
29001,0.0717778
29101,0.0718844
29201,0.0721455
29301,0.0721227
29401,0.0723428
29501,0.0723943
29601,0.0726528
29701,0.072643
29801,0.0726083
29901,0.0727402
30001,0.0729064
30101,0.0728669
30201,0.0727763
30301,0.0727792
30401,0.0728712
30501,0.0730561
30601,0.0731088
30701,0.0732183
30801,0.073245
30901,0.0733416
31001,0.073474
31101,0.0734235
31201,0.0735411
31301,0.0736792
31401,0.0736706
31501,0.0736873
31601,0.0738952
31701,0.0739717
31801,0.0739755
31901,0.0740317
32001,0.074355
32101,0.0743888
32201,0.0742165
32301,0.0743715
32401,0.07453
32501,0.0746445
32601,0.0748036
32701,0.0748276
32801,0.0750016
32901,0.0749585
33001,0.074988
33101,0.0749911
33201,0.0750447
33301,0.0752364
33401,0.0752936
33501,0.0755235
33601,0.0756701
33701,0.0757213
33801,0.0757384
33901,0.0757701
34001,0.0758118
34101,0.0756993
34201,0.0756739
34301,0.0755857
34401,0.0757917
34501,0.0757477
34601,0.0759024
34701,0.0760241
34801,0.0761802
34901,0.0761737
35001,0.0762427
35101,0.0760668
35201,0.0760537
35301,0.0760935
35401,0.0761531
35501,0.0762501
35601,0.0762428
35701,0.0763395
35801,0.0764658
35901,0.0763648
36001,0.0766776
36101,0.0767107
36201,0.07687
36301,0.0768244
36401,0.0770409
36501,0.0767785
36601,0.0769426
36701,0.0770042
36801,0.0771273
36901,0.0770363
37001,0.0771795
37101,0.0771166
37201,0.0773126
37301,0.0774928
37401,0.0775413
37501,0.0776232
37601,0.0774468
37701,0.07732
37801,0.0774354
37901,0.0775196
38001,0.077576
38101,0.0780041
38201,0.0781766
38301,0.0782732
38401,0.0782799
38501,0.0784624
38601,0.078762
38701,0.0788753
38801,0.0787675
38901,0.0787595
39001,0.0787004
39101,0.0786063
39201,0.0786451
39301,0.0787043
39401,0.0787895
39501,0.0787954
39601,0.0784121
39701,0.0784981
39801,0.0786339
39901,0.0785438
40001,0.0785659
40101,0.0784819
40201,0.078399
40301,0.0783607
40401,0.0785803
40501,0.0788508
40601,0.0789359
40701,0.0790367
40801,0.0791829
40901,0.0792099
41001,0.0793947
41101,0.0792444
41201,0.0792846
41301,0.0792506
41401,0.0794483
41501,0.0794177
41601,0.0795439
41701,0.0795503
41801,0.0797264
41901,0.0796678
42001,0.0798166
42101,0.0798669
42201,0.0800611
42301,0.0799602
42401,0.0800677
42501,0.0802434
42601,0.0802797
42701,0.0804475
42801,0.0806288
42901,0.0808004
43001,0.0810477
43101,0.0809216
43201,0.0810985
43301,0.0810895
43401,0.0812865
43501,0.0810687
43601,0.0812465
43701,0.0811325
43801,0.0812095
43901,0.0810752
44001,0.0813477
44101,0.0812493
44201,0.081332
44301,0.0815382
44401,0.0815374
44501,0.0817893
44601,0.08206
44701,0.0821526
44801,0.0822881
44901,0.0821936
45001,0.0819305
45101,0.0822226
45201,0.0822361
45301,0.082324
45401,0.0824688
45501,0.082574
45601,0.0826159
45701,0.082905
45801,0.0828554
45901,0.0829105
46001,0.0828812
46101,0.0831012
46201,0.0830387
46301,0.0833521
46401,0.0833272
46501,0.0834153
46601,0.0836819
46701,0.0836309
46801,0.0837487
46901,0.0839549
47001,0.083867
47101,0.0839878
47201,0.0839337
47301,0.0837826
47401,0.0837889
47501,0.0838255
47601,0.0840394
47701,0.0842137
47801,0.0840296
47901,0.0840649
48001,0.0840612
48101,0.0840747
48201,0.0842962
48301,0.0843993
48401,0.0844385
48501,0.084471
48601,0.0843725
48701,0.084468
48801,0.0843991
48901,0.084303
49001,0.0845691
49101,0.084395
49201,0.0845619
49301,0.084723
49401,0.0845175
49501,0.0844335
49601,0.0842449
49701,0.084434
49801,0.0841983
49901,0.084223
50001,0.0841158
50101,0.0843275
50201,0.0842678
50301,0.0839467
50401,0.0840793
50501,0.0841018
50601,0.0840504
50701,0.0840875
50801,0.0840709
50901,0.0839963
51001,0.0840333
51101,0.0843546
51201,0.0845301
51301,0.0846467
51401,0.0845964
51501,0.0846814
51601,0.0846495
51701,0.084642
51801,0.084456
51901,0.0846847
52001,0.0844943
52101,0.0845002
52201,0.0845533
52301,0.0847434
52401,0.0848858
52501,0.0847463
52601,0.0845989
52701,0.0846245
52801,0.0848335
52901,0.0846523
53001,0.0847535
53101,0.0847879
53201,0.0846543
53301,0.0848603
53401,0.0848423
53501,0.0850412
53601,0.0853197
53701,0.085135
53801,0.0849679
53901,0.0850772
54001,0.0850952
54101,0.0852501
54201,0.0853692
54301,0.0852762
54401,0.0852381
54501,0.0852723
54601,0.0854646
54701,0.0856805
54801,0.0857011
54901,0.0857883
55001,0.085947
55101,0.0861157
55201,0.0860264
55301,0.0858384
55401,0.0858215
55501,0.0858159
55601,0.0860609
55701,0.0857989
55801,0.0857294
55901,0.0858251
56001,0.0861585
56101,0.0861859
56201,0.0862095
56301,0.0861524
