N, mu, r, file
100,0.000250,0.000250,1
100,0.000250,0.000250,2
100,0.000250,0.000250,3
100,0.000250,0.000250,4
100,0.000250,0.000250,5
100,0.000250,0.000250,6
100,0.000250,0.000250,7
100,0.000250,0.000250,8
100,0.000250,0.000250,9
100,0.000250,0.000250,10
100,0.000250,0.000250,11
100,0.000250,0.000250,12
100,0.000250,0.000250,13
100,0.000250,0.000250,14
100,0.000250,0.000250,15
100,0.000250,0.000250,16
100,0.000250,0.000250,17
100,0.000250,0.000250,18
100,0.000250,0.000250,19
100,0.000250,0.000250,20
100,0.000250,0.000250,21
100,0.000250,0.000250,22
100,0.000250,0.000250,23
100,0.000250,0.000250,24
100,0.000250,0.000250,25
100,0.000250,0.000250,26
100,0.000250,0.000250,27
100,0.000250,0.000025,1
100,0.000250,0.000025,2
100,0.000250,0.000025,3
100,0.000250,0.000025,4
100,0.000250,0.000025,5
100,0.000250,0.000025,6
100,0.000250,0.000025,7
100,0.000250,0.000025,8
100,0.000250,0.000025,9
100,0.000250,0.000025,10
100,0.000250,0.000025,11
100,0.000250,0.000025,12
100,0.000250,0.000025,13
100,0.000250,0.000025,14
100,0.000250,0.000025,15
100,0.000250,0.000025,16
100,0.000250,0.000025,17
100,0.000250,0.000025,18
100,0.000250,0.000025,19
100,0.000250,0.000025,20
100,0.000250,0.000025,21
100,0.000250,0.000025,22
100,0.000250,0.000025,23
100,0.000250,0.000025,24
100,0.000250,0.000025,25
100,0.000250,0.000025,26
100,0.000250,0.000025,27
100,0.000250,0.000003,1
100,0.000250,0.000003,2
100,0.000250,0.000003,3
100,0.000250,0.000003,4
100,0.000250,0.000003,5
100,0.000250,0.000003,6
100,0.000250,0.000003,7
100,0.000250,0.000003,8
100,0.000250,0.000003,9
100,0.000250,0.000003,10
100,0.000250,0.000003,11
100,0.000250,0.000003,12
100,0.000250,0.000003,13
100,0.000250,0.000003,14
100,0.000250,0.000003,15
100,0.000250,0.000003,16
100,0.000250,0.000003,17
100,0.000250,0.000003,18
100,0.000250,0.000003,19
100,0.000250,0.000003,20
100,0.000250,0.000003,21
100,0.000250,0.000003,22
100,0.000250,0.000003,23
100,0.000250,0.000003,24
100,0.000250,0.000003,25
100,0.000250,0.000003,26
