N	Mutation Rate	Recombination Rate
100	0.00025	0.00025
100	0.00025	0.0025
100	0.00025	0.025
100	0.0025	0.00025
100	0.0025	0.0025
100	0.0025	0.025
100	0.025	0.00025
100	0.025	0.0025
100	0.025	0.025
1000	2.5e-05	2.5e-05
1000	2.5e-05	0.00025
1000	2.5e-05	0.0025
1000	0.00025	2.5e-05
1000	0.00025	0.00025
1000	0.00025	0.0025
1000	0.0025	2.5e-05
1000	0.0025	0.00025
1000	0.0025	0.0025
10000	2.5e-06	2.5e-06
10000	2.5e-06	2.5e-05
10000	2.5e-06	0.00025
10000	2.5e-05	2.5e-06
10000	2.5e-05	2.5e-05
10000	2.5e-05	0.00025
10000	0.00025	2.5e-06
10000	0.00025	2.5e-05
10000	0.00025	0.00025
