N,Mutation Rate,Recombination Rate, file,theta_pop_scaled_mutation_rate,pi_nucleotide_diversity,baseline,upperlimit
100,0.00025,0.00025,1,0.1,0.083333333,0.091666667,0.1
100,0.00025,0.0025,2,0.1,0.083333333,0.091666667,0.1
100,0.00025,0.025,3,0.1,0.083333333,0.091666667,0.1
100,0.0025,0.00025,4,1,0.333333333,0.366666667,0.4
100,0.0025,0.0025,5,1,0.333333333,0.366666667,0.4
100,0.0025,0.025,6,1,0.333333333,0.366666667,0.4
100,0.025,0.00025,7,10,0.476190476,0.523809524,0.571428571
100,0.025,0.0025,8,10,0.476190476,0.523809524,0.571428571
100,0.025,0.025,9,10,0.476190476,0.523809524,0.571428571
1000,0.000025,0.000025,10,0.1,0.083333333,0.091666667,0.1
1000,0.000025,0.00025,11,0.1,0.083333333,0.091666667,0.1
1000,0.000025,0.0025,12,0.1,0.083333333,0.091666667,0.1
1000,0.00025,0.000025,13,1,0.333333333,0.366666667,0.4
1000,0.00025,0.00025,14,1,0.333333333,0.366666667,0.4
1000,0.00025,0.0025,15,1,0.333333333,0.366666667,0.4
1000,0.0025,0.000025,16,10,0.476190476,0.523809524,0.571428571
1000,0.0025,0.00025,17,10,0.476190476,0.523809524,0.571428571
1000,0.0025,0.0025,18,10,0.476190476,0.523809524,0.571428571
10000,0.0000025,0.0000025,19,0.1,0.083333333,0.091666667,0.1
10000,0.0000025,0.000025,20,0.1,0.083333333,0.091666667,0.1
10000,0.0000025,0.00025,21,0.1,0.083333333,0.091666667,0.1
10000,0.000025,0.0000025,22,1,0.333333333,0.366666667,0.4
10000,0.000025,0.000025,23,1,0.333333333,0.366666667,0.4
10000,0.000025,0.00025,24,1,0.333333333,0.366666667,0.4
10000,0.00025,0.0000025,25,10,0.476190476,0.523809524,0.571428571
10000,0.00025,0.000025,26,10,0.476190476,0.523809524,0.571428571
10000,0.00025,0.00025,27,10,0.476190476,0.523809524,0.571428571
